treatment,maxneg,maxneggene,smaxneg,smaxneggene,smaxpos,smaxposgene,maxpos,maxposgene,diffneg,diffpos
BRD-K99978345:3.333 uM,-0.244448010720301,AC004066.1 (ENSG00000216425),-0.237159712333435,AL158211.1 (ENSG00000261671),0.184592386882805,AL138724.1 (ENSG00000272269),0.192229264176737,RN7SL482P (ENSG00000241587),0.00728829838686601,0.007636877293932004
BRD-K19693337:1.111 uM,-0.196356586168253,LINC01912 (ENSG00000264699),-0.182003868180938,SPDYE14P (ENSG00000278807),0.265734781816506,HNRNPA1P17 (ENSG00000243188),0.278131283676107,AL358075.4 (ENSG00000278139),0.014352717987314995,0.012396501859601006
BRD-K02346425:3.333 uM,-0.200565218758702,LINC01962 (ENSG00000248473),-0.189510662022715,MEPE (ENSG00000152595),0.188599504640994,AC108516.2 (ENSG00000255723),0.192966958830907,AC112487.2 (ENSG00000283669),0.011054556735987014,0.004367454189912995
BRD-K69669311:1.111 uM,-0.211952314515137,AC234791.1 (ENSG00000273746),-0.210393194837596,AC008562.1 (ENSG00000253512),0.214686839330431,CLEC4GP1 (ENSG00000268297),0.228815383020859,AC007091.1 (ENSG00000223838),0.0015591196775409932,0.014128543690427986
BRD-A53569319:10 uM,-0.234705281708197,CELA3B (ENSG00000219073),-0.230220636957003,HTR6 (ENSG00000158748),0.283680599794685,PCNX2 (ENSG00000135749),0.28769958524823,SFXN3 (ENSG00000107819),0.004484644751193978,0.00401898545354501
BRD-A21744749:3.333 uM,-0.239136218014713,IGHV3-19 (ENSG00000253883),-0.235639924508954,RN7SKP238 (ENSG00000252292),0.202155755244222,RBBP4P4 (ENSG00000214561),0.202524806664634,AL139125.2 (ENSG00000278982),0.0034962935057590017,3.690514204119921e-4
BRD-A92336904:10 uM,-0.199664253534957,TRGV3 (ENSG00000211699),-0.188852058470445,TRGV1 (ENSG00000211701),0.183944988048851,AF186192.1 (ENSG00000254533),0.188606808747201,AL079307.1 (ENSG00000258535),0.010812195064512004,0.00466182069835
BRD-K47975455:1.111 uM,-0.181826906905486,LINC01727 (ENSG00000279082),-0.176028717775466,OCIAD2 (ENSG00000145247),0.216615710197409,AL807752.2 (ENSG00000229257),0.21771972131186,RPL18AP15 (ENSG00000236189),0.005798189130020004,0.0011040111144509923
BRD-A52269273:3.333 uM,-0.22794743572985,LINC02096 (ENSG00000238212),-0.196826462422729,RPL23AP76 (ENSG00000226156),0.191196979002967,BSNDP3 (ENSG00000277508),0.194879923412217,RAP1B (ENSG00000127314),0.03112097330712099,0.0036829444092499886
BRD-K69587265:3.333 uM,-0.211409165679231,AC012417.1 (ENSG00000263698),-0.210032701084249,AL355432.1 (ENSG00000254396),0.162046100700121,AC126773.2 (ENSG00000260577),0.171300122460155,LINC01290 (ENSG00000260468),0.0013764645949819743,0.009254021760034009
BRD-K02346425:1.111 uM,-0.212861093329512,LINC01964 (ENSG00000260840),-0.205652852421274,AL606970.2 (ENSG00000228361),0.184456404752655,SPANXN5 (ENSG00000204363),0.192238463895527,AC092100.1 (ENSG00000225718),0.0072082409082379895,0.007782059142872
BRD-A39626484:10 uM,-0.261888034254992,KCNC2 (ENSG00000166006),-0.246061293287545,AC016642.1 (ENSG00000248475),0.282180753276786,ATP6V1G1 (ENSG00000136888),0.303370210240102,CHCHD5 (ENSG00000125611),0.015826740967447017,0.021189456963316033
BRD-K77006176:1.111 uM,-0.192342491609111,AC018752.1 (ENSG00000250015),-0.177727917977597,AC244100.3 (ENSG00000275944),0.205022519661708,GDF6 (ENSG00000156466),0.213744900513344,KNCN (ENSG00000162456),0.014614573631514,0.008722380851635986
